tag,logN,K,nWorkers,chebOrder,online_mean_ms,online_std_ms,status
logN13_K136_w4_c3,13,136,4,3,28.465,1.76,ok
logN13_K136_w4_c4,13,136,4,4,33.607,1.247,ok
logN13_K136_w4_c5,13,136,4,5,37.585,5.55,ok
logN13_K272_w4_c3,13,272,4,3,30.645,2.314,ok
logN13_K272_w4_c4,13,272,4,4,32.726,3.344,ok
logN13_K272_w4_c5,13,272,4,5,35.088,1.364,ok
logN14_K272_w4_c3,14,272,4,3,60.391,1.924,ok
logN14_K272_w4_c4,14,272,4,4,69.465,4.069,ok
logN14_K272_w4_c5,14,272,4,5,75.269,4.178,ok
logN14_K544_w4_c3,14,544,4,3,62.655,4.502,ok
logN14_K544_w4_c4,14,544,4,4,71.909,5.989,ok
logN14_K544_w4_c5,14,544,4,5,76.822,2.585,ok
